sentiment,text,user
"positive","RT @cwnewsbyte: Exquisite New Species Of Peacock Spiders Described #peacockspiders #species #new https://t.co/z9tFuvaEXi","eric_vanpraag"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","AharaPeace"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","SAINT_BLANK"
"negative","please look at the peacock spiders mating dance. ill pay you. please look at this lil fucker trying to get pussy.","animalfactoids_"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","havendetta"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","fussytummy"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","chizimp"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","lilkalamata"
"positive","These disco-dancing #spiders will bring a smile to your face. #funfactfriday https://t.co/fgQ3ydCvEs via @forbes https://t.co/quMXC8fsKQ","VarmentGuard"
"neutral","@Daemonysh I like lunar moths , peacock spiders and fuzzy bumble bees &lt;3","nicnak044"
"neutral","RT @Maratus_spider: Just to give you an idea of the size of these peacock spiders. Male and female Maratus volans. This is the males courts…","jmleah61"
"neutral","RT @Maratus_spider: Just to give you an idea of the size of these peacock spiders. Male and female Maratus volans. This is the males courts…","butteredclam"
"positive","Better #spider news from🇦🇺- check out 5 new fabulous species of peacock spiders recently discovered in Western Aust… https://t.co/oPI3oWJW3c","AusEmbIre"
"neutral","RT @lncestPrincess: Peacock Spiders have the cutest mating dance https://t.co/z2JUo1757M","BatDoot"
"positive","RT @m_m_campbell: #SixIncredibleThingsBeforeBreakfast\nColourful characters.\nNew peacock spiders.\n[Video] https://t.co/MyfiP4JcX0 #spiders b…","GrrlScientist"
"positive","Seven New Species Of Peacock Spiders Discovered In Australia via @forbes https://t.co/IErpLckPln","gescher"
"positive","RT @GrrlScientist: Seven New Species Of Peacock Spiders Discovered In Australia\n#spiders #video #Australia https://t.co/shy1C4iioP https://…","Mabel_bib"
"positive","RT @GrrlScientist: Seven New Species Of Peacock Spiders Discovered In Australia\n#spiders #video #Australia https://t.co/shy1C4iioP https://…","SongthrushonCam"
