sentiment,text,user
neutral,"RT @strawberry_az: Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",imgeorgialeigh
positive,I got a love for tarantula spiders anyone I deal with has to be cool with that,InvaderDark37
positive,RT @rmmEaT3i: A handful of curlyhair tarantula (Brachypelma albopilosum) helps keep the season merry &amp; bright. _Ù_Ä#Arachtober #Monstober #Hal‰Û_,mortimillian
negative,Tarantula spiders can survive 2 and a half years without food #facts,JobTx
positive,A handful of curlyhair tarantula (Brachypelma albopilosum) helps keep the season merry &amp; bright. _Ù_Ä#Arachtober‰Û_ https://t.co/20jBj8irWF,rmmEaT3i
positive,Are you brave enough to eat this? #Cambodia #tbex #ttot #foodventure #travel #epicurean https://t.co/Nja3QoKDMQ,twiptrips
negative,"@MelanieHunterTV You are like me. I stepped over 4 ft. gopher snake this summer without any fear. But, I HATE spide‰Û_ https://t.co/JOHyBuyYOr",desertgene
negative,"@Kez7virgo Swear, it stood out and I had to take a photo. Haven't seen a tarantula in many years, and I'm fearful o‰Û_ https://t.co/LeaDUKvCfH",carolckm
neutral,‹â_‹Ä_‹Äà‹â£‹â¢‹Ä_‹Ä«‹âÁ‹â_‹â»‹ÄÂ‹ÄÄ‹Äö(Chilobrachys fimbriatus)\nhttps://t.co/jldGNQ0vVG,tarantula_pic
neutral,RT @CNNMoney: What it's like to eat a tarantula spider: https://t.co/tm7OPcCSst via @CNNTravel https://t.co/UBlbngpc3K,ChinaIcbc
neutral,RT @Dax_x98: My #Tarantula Bogee Died _Ù÷¢ _Ù¥á_Ù¥ü #spiders #Animals #BigAssSpider #Spiderman https://t.co/gsbkV48NKB,Dax_x98
neutral,Cambodia cuisine: What it's like to cook and eat a tarantula! _Ù÷¨\nhttps://t.co/uKu0MyftmP\n\nvia @CNNTravel https://t.co/JOxsLTNLcv,Qnisrecruitment
positive,@RyanPaevey @fyeahRyanPaevey My old boss was a scientist who studied spiders.  He kept Terry the tarantula in his office.,wnc_honeybee
negative,"#FriDare I adore spiders, have a lot of spider jewelry &amp; small jewelry box shaped like spiderweb with jeweled spide‰Û_ https://t.co/vWbFngca4f",Anyechka
neutral,I don‰Ûªt want my kids to inherit my fear-based patterns so I explored my fear of spiders. https://t.co/14cJvUw4rR by @tracy_martino,PosPositive
