sentiment,text,user
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","Jan7Taylor"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","Aceofmmos"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","HarrlesKari"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","arind0"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","F0rtePro"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","blackamlgo_slim"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","trainyour__dog"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","CherretteA846"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","laurle104"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","dannaalanls"
