sentiment,text,user
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/OcKLhl0irH #Zebra #Tarantulas https://t.co/34GkMOQ9ap","DYKFurryFriends"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/ezJq3HZV7k #Zebra #Tarantulas https://t.co/FECXU7gpOy","hot_beaches"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/ezJq3HZV7k #Zebra #Tarantulas https://t.co/H711pR0KT8","hot_beaches"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/BTbQw36OjH #Zebra #Tarantulas https://t.co/jytBmS2F3v","burgers_beer"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/jhS1aNNXbl #Zebra #Tarantulas https://t.co/Qn1Q7Vk4kT","oldiesrockmusic"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/7s18RY09lc #Zebra #Tarantulas https://t.co/Ba7D7BBHzH","blisshighliving"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/3GcdihfKjy #Zebra #Tarantulas https://t.co/rVLw4r4zXQ","Heart_for_Home"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/vBUKSYMpkY #Zebra #Tarantulas https://t.co/aPTEc6hQBQ","WispyWonder"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/ygYzbcn7uK #Zebra #Tarantulas https://t.co/IN2Hk30Fqx","Pets_Nut"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/YHvjF3t4NU #Zebra #Tarantulas https://t.co/YFlckxqnQ7","The_Life_Swirl"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/H7JALBJhVv #Zebra #Tarantulas https://t.co/QnUSROfW9r","TransformSpin"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/XTXh7i5kVx #Zebra #Tarantulas https://t.co/iRHqBsswSU","TheBeachCraze"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/K4AWYYkeXb #Zebra #Tarantulas https://t.co/5hKJfjACLh","WendyKing78"
"neutral","Edible Dehydrated Zebra Tarantulas https://t.co/MoCGjMWBNc #Zebra #Tarantulas https://t.co/v9qSGcxnG1","SilverSunStream"
